,SupplyChainId,Category,SubCategory,ProductId,ProductName,Description,Price,Quantity,ShippingCost,DeliveryTime,SellerId,SellerName,SellerCountry,SellerRating,SellerFeedback,OrderNumber,OrderId,OrderStatus,OrderDate,CustomerId
0,141,Home Improvement,Running Shoes,120,Nike Pegasus,Keurig K-Cup Coffee Maker,99.99,2,7,2,168,Noah Doe,Indonesia,4.7,95,15,12346,Cancelled,2020-07-21,358
1,131,Outdoors,Camping,116,Printer,Loreal True Match Foundation,90.0,3,10,1,159,Sophia Doe,India,4.9,95,1,12354,Shipped,2020-07-23,356
2,128,Beauty,Phones,112,Printer,Optimum Nutrition Protein Powder,80.0,2,5,2,158,Sarah Doe,Italy,4.8,85,12,12356,Cancelled,2020-07-22,349
3,133,Health,Athletic Wear,115,Monopoly,Keurig K-Cup Coffee Maker,45.0,4,10,2,165,Sarah Doe,India,4.7,95,8,12346,Cancelled,2020-07-21,354
4,132,Shoes,Camping,120,Harry Potter,Keurig K-Cup Coffee Maker,2199.0,2,8,2,160,James Doe,US,4.9,98,18,12346,Cancelled,2020-07-21,359
5,128,Grocery,Necklaces,113,Protein Powder,90 Degree By Reflex Yoga Pants,400.0,2,5,1,168,William Doe,Australia,4.9,90,20,12348,Returned,2020-07-22,361
6,124,Beauty,Appliances,109,Yoga Pants,Keurig K-Cup Coffee Maker,11.99,2,8,1,163,Ava Doe,Australia,4.9,95,6,12351,Shipped,2020-07-23,353
7,142,Automotive,Small Appliances,115,Tent,Cuisinart Belgian Waffle Maker,25.0,2,7,1,170,Sophia Doe,Canada,4.9,80,2,12364,Delivered,2020-07-20,361
8,124,Appliances,Camping,118,Yoga Pants,Pepsi 12 Pack,11.99,4,6,3,166,Olivia Doe,US,4.9,90,6,12355,Shipped,2020-07-20,361
9,133,Books,Televisions,104,Foundation,90 Degree By Reflex Yoga Pants,45.0,3,5,2,158,Tom Doe,US,4.9,90,7,12354,Cancelled,2020-07-23,351
10,137,Shoes,Makeup,107,Tent,50 inch LED 4K Ultra HD TV,5.99,2,10,1,165,Tom Doe,Canada,4.9,98,19,12359,Cancelled,2020-07-21,351
