CustomerID,City,StateProvinceName,CountryRegionName,PostalCode,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome
58772,Seaford,Victoria,Australia,3198,5/14/1965,Bachelors ,Professional,M,S,0,1,3,3,101141
98594,North Ryde,New South Wales,Australia,2113,2/15/1968,Bachelors ,Professional,F,S,0,1,0,0,86688
96960,Wollongong,New South Wales,Australia,2500,8/8/1968,Bachelors ,Professional,F,S,1,4,5,5,92771
72891,East Brisbane,Queensland,Australia,4169,8/5/1965,Bachelors ,Professional,M,S,1,1,0,0,103199
74195,Warrnambool,Victoria,Australia,3280,5/9/1964,Bachelors ,Professional,M,M,1,2,3,3,109759
83774,Bendigo,Victoria,Australia,3550,7/7/1964,Bachelors ,Professional,F,S,1,3,4,4,88005
85711,Hervey Bay,Queensland,Australia,4655,4/1/1964,Bachelors ,Professional,M,S,0,1,0,0,106399
76962,East Brisbane,Queensland,Australia,4169,2/6/1964,Bachelors ,Professional,F,S,0,1,0,0,81294
91867,East Brisbane,Queensland,Australia,4169,11/4/1963,Bachelors ,Professional,M,M,1,4,4,4,94029
75406,Bremerton,Washington,United States,98312,1/18/1968,Bachelors ,Management,F,M,1,2,0,2,99245
51954,Lebanon,Oregon,United States,97355,8/6/1968,Bachelors ,Management,M,M,1,3,0,2,115859
63088,Redmond,Washington,United States,98052,5/9/1968,Bachelors ,Management,F,S,0,3,0,3,105157
71047,Burbank,California,United States,91502,2/27/1979,Partial College,Skilled Manual,F,S,0,1,0,0,40011
72821,Langley,British Columbia,Canada,V3A 4R2,3/7/1978,High School,Skilled Manual,M,S,0,2,0,0,49455
51832,Metchosin,British Columbia,Canada,V9,9/20/1978,High School,Skilled Manual,M,S,0,2,0,0,43857
79691,Concord,California,United States,94519,9/17/1978,Partial College,Skilled Manual,M,M,1,2,0,0,91276
72961,Hawthorne,Queensland,Australia,4171,12/23/1945,Partial High School,Clerical,M,M,1,2,1,2,24334
66449,Goulburn,New South Wales,Australia,2580,4/3/1946,Partial College,Clerical,M,S,0,2,0,2,61905
75216,Warrnambool,Victoria,Australia,3280,12/7/1946,Partial College,Clerical,M,M,1,2,0,2,49349
